,company,title,location,seniority,category,salary,salary_period
928,GOVERNMENT TECHNOLOGY AGENCY,Data Scientist,South,Fresh/entry level,Sales / Retail ,"$5,000to$8,000",Monthly
929,GOVERNMENT TECHNOLOGY AGENCY,Data Scientist,South,Fresh/entry level,Sales / Retail ,"$5,000to$8,000",Monthly
930,BLUECHIP PLATFORMS ASIA PTE. LTD.,"AVP, Data Strategy & Governance",Central,Non-executive,Information Technology ...,Salary undisclosed,
931,TITANSOFT PTE. LTD.,Data Engineer,Central,Non-executive,Information Technology ...,"$3,000to$8,000",Monthly
932,99 PTE. LTD.,Senior Data Analyst,South,Senior Executive,Engineering,"$3,600to$4,500",Monthly
933,DBS BANK LTD.,"AVP, Business Data Analytic Lead, DBS Transformation Group, Technology & Operations (190000DI)",South,Senior Executive,Engineering,"$6,500to$13,000",Monthly
934,DBS BANK LTD.,"VP, Business Data Analytic Lead, DBS Transformation Group, Technology & Operations (190000DI)",North,Non-executive,Human Resources ,"$9,500to$15,000",Monthly
935,ERNST & YOUNG ADVISORY PTE. LTD.,"Technology Risk Manager (Data Analytics), Advisory, Singapore",North,Non-executive,Human Resources ,"$6,000to$12,000",Monthly
936,ERNST & YOUNG ADVISORY PTE. LTD.,"Technology Risk Manager (Data Analytics), Advisory, Singapore",South,Professional,Information Technology,"$6,000to$12,000",Monthly
937,ERNST & YOUNG ADVISORY PTE. LTD.,"Risk Assurance Senior Associate (Data analytics) - Advisory, Singapore",South,Professional,Information Technology,"$4,100to$8,200",Monthly
938,DBS BANK LTD.,"Contract Senior (1 Year Contract), Data Engineer – Python, Group Finance (190000E3)",West,Executive,Information Technology,"$2,100to$4,200",Monthly
939,DBS BANK LTD.,"Senior Associate  /  Associate, Operations Intelligence Data Specialist, CBG Ops, T&O (180004EF)",West,Executive,Information Technology,"$4,000to$8,000",Monthly
940,BIGTAPP PTE. LTD.,Lead Data Scientist,West,Fresh/entry level,Accounting / Auditing / Taxation,"$80,000to$100,000",Annually
941,ADD-ON APAC SINGAPORE PTE. LTD.,Big Data Engineer  /  DevOps Engineer  /  Software Developer,West,Fresh/entry level,Accounting / Auditing / Taxation,Salary undisclosed,
942,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,"Data Analyst (SAS, R or Python)",West,Professional,Building and Construction,"$5,000to$7,500",Monthly
943,ADECCO PERSONNEL PTE LTD,Big Data Software Engineer,West,Professional,Building and Construction,"$6,000to$9,000",Monthly
944,MICROSOFT OPERATIONS PTE LTD,Data Solution Architect,West,Junior Executive,Engineering ...,"$164,500to$246,500",Annually
945,TANGSPAC CONSULTING PTE LTD,Senior Data Base Administrator (MySQL Server DBA),West,Junior Executive,Engineering ...,"$6,000to$8,000",Monthly
946,INVOSYSTEMS SOLUTIONS PTE. LTD.,Hadoop (Big Data) Administrator,West,Professional,Sciences / Laboratory / R&D,"$4,000to$6,500",Monthly
947,NTT DATA SINGAPORE PTE. LTD.,senior full stack Developer,West,Professional,Sciences / Laboratory / R&D,"$5,500to$9,900",Monthly
948,TECH DATA ADVANCED SOLUTIONS (SINGAPORE) PTE. LTD.,system engineer,Central,Junior Executive,Engineering,"$5,000to$6,000",Monthly
949,NTT DATA SINGAPORE PTE. LTD.,L3 Network Engineer,Central,Junior Executive,Engineering,"$5,500to$9,900",Monthly
950,NTT DATA SINGAPORE PTE. LTD.,Murex Support Analyst,Central,Non-executive,Engineering,"$5,000to$9,000",Monthly
951,ASTEK SINGAPORE INNOVATION TECHNOLOGY PTE. LTD.,Informatica Developer,Central,Non-executive,Engineering,"$6,000to$9,000",Monthly
952,Health Promotion Board,"Assistant Director, Evaluation & Analytics",Central,Manager,Engineering,Salary undisclosed,
953,CHARTERHOUSE PTE. LTD.,Senior Datawarehouse Consultant,Central,Manager,Engineering,"$6,000to$8,000",Monthly
954,TRIPADVISOR SINGAPORE PRIVATE LIMITED,Research Associate,Central,Executive,Repair and Maintenance,"$4,500to$6,600",Monthly
955,CEVA LOGISTICS SINGAPORE PTE. LTD.,Business Analyst,Central,Executive,Repair and Maintenance,"$3,000to$4,000",Monthly
956,VCARGO CLOUD PTE. LTD.,Database Administrator,East,Junior Executive,Human Resources ,"$5,000to$7,000",Monthly
957,CONTROL RISKS GROUP (S) PTE LTD,Associate Financial Analyst,East,Junior Executive,Human Resources ,"$2,500to$3,000",Monthly
958,IGG SINGAPORE PTE. LTD.,Senior C / C++ Server Engineer,East,Executive,Admin / Secretarial,"$3,000to$7,000",Monthly
959,8 HUNTERS INTERNATIONAL PTE. LTD.,Solutions Architect,East,Executive,Admin / Secretarial,Salary undisclosed,
960,Ministry of Communications and Information,Senior Manager  /  Manager (Industry Research),"East, Central",Senior Management,Admin / Secretarial,Salary undisclosed,
961,TRIPADVISOR SINGAPORE PRIVATE LIMITED,"Account Management and Operations Lead, Retail","East, Central",Senior Management,Admin / Secretarial,"$5,500to$7,600",Monthly
962,ARUP SINGAPORE PRIVATE LIMITED,Mechanical Engineer,West,Professional,Sales / Retail ,"$4,200to$5,000",Monthly
963,NATIONAL UNIVERSITY OF SINGAPORE,Research Assistant  /  Associate (Software Engineer),West,Professional,Sales / Retail ,"$2,600to$4,200",Monthly
964,THE SUPREME HR ADVISORY PTE. LTD.,Admin cum Account  /  /  5 Days  /  /  2800-3000  /  /  Clarke Quay  /  /  Senior Level Admin,Islandwide,Senior Management,Marketing / Public Relations ,"$2,800to$3,000",Monthly
965,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Qlik Sense Administrator,Islandwide,Senior Management,Marketing / Public Relations ,"$4,000to$5,500",Monthly
966,TRITERRAS ASIA PTE. LTD.,System Administrator,South,Senior Management,Human Resources  ...,"$6,000to$6,500",Monthly
967,TECHNOPALS PTE. LTD.,Application Consultant-Process Automation (RPA),South,Senior Management,Human Resources  ...,"$5,000to$7,200",Monthly
